Cre ID,Gene number
Cre01.g049132,1058
Cre01.g049200,1059
Cre01.g049250,1060
Cre01.g049300,1061
Cre01.g049350,1062
Cre01.g049400,1063
Cre01.g049450,1064
Cre01.g049500,1065
Cre01.g049550,1066
Cre01.g049600,1067
Cre01.g049650,1068
Cre01.g049750,1069
Cre01.g049826,1070
Cre01.g049900,1071
Cre01.g049950,1072
Cre01.g050000,1073
Cre01.g050050,1074
Cre01.g050100,1075
Cre01.g050150,1076
Cre01.g050200,1077
Cre01.g050300,1078
Cre01.g050316,1079
Cre01.g050350,1080
Cre01.g050400,1081
Cre01.g050451,1082
Cre01.g050500,1083
Cre01.g050550,1084
Cre01.g050600,1085
Cre01.g050608,1086
Cre01.g050616,1087
Cre01.g050624,1088
Cre01.g050650,1089
Cre01.g050700,1090
Cre01.g050750,1091
Cre01.g050800,1092
Cre01.g050850,1093
Cre01.g050900,1094
Cre01.g050950,1095
Cre01.g051000,1096
Cre01.g051050,1097
Cre01.g051100,1098
Cre01.g051137,1099
Cre01.g051174,1100
Cre01.g051211,1101
Cre01.g051250,1102
Cre01.g051300,1103
Cre01.g051350,1104
Cre01.g051400,1105
Cre01.g051450,1106
Cre01.g051466,1107
Cre01.g051482,1108
Cre01.g051500,1109
Cre01.g051550,1110
Cre01.g051625,1111
Cre01.g051700,1112
Cre01.g051750,1113
Cre01.g051800,1114
Cre01.g051850,1115
Cre01.g051875,1116
Cre01.g051900,1117
Cre01.g051950,1118
Cre01.g052000,1119
Cre01.g052050,1120
Cre01.g052100,1121
Cre01.g052150,1122
Cre01.g052200,1123
Cre01.g052250,1124
Cre01.g052300,1125
Cre01.g052350,1126
Cre01.g052400,1127
Cre01.g052450,1128
Cre01.g052500,1129
Cre01.g052550,1130
Cre01.g052601,1131
Cre01.g052650,1132
Cre01.g052750,1133
Cre01.g052800,1134
Cre01.g052850,1135
Cre01.g052950,1136
Cre01.g053000,1137
Cre01.g053050,1138
Cre01.g053100,1139
Cre01.g053150,1140
Cre01.g053200,1141
Cre01.g053250,1142
Cre01.g053288,1143
Cre01.g053300,1144
Cre01.g053350,1145
Cre01.g053360,1146
Cre01.g053450,1147
Cre01.g053500,1148
Cre01.g053550,1149
Cre01.g053600,1150
Cre01.g053700,1151
Cre01.g053750,1152
Cre01.g053800,1153
Cre01.g053850,1154
Cre01.g053900,1155
Cre01.g053950,1156
Cre01.g054000,1157
Cre01.g054050,1158
Cre01.g054100,1159
Cre01.g054150,1160
Cre01.g054200,1161
Cre01.g054250,1162
Cre01.g054300,1163
Cre01.g054350,1164
Cre01.g054400,1165
Cre01.g054433,1166
Cre01.g054500,1167
Cre01.g054550,1168
Cre01.g054600,1169
Cre01.g054650,1170
Cre01.g054700,1171
